iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 06, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"957,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CB","CHUBB LTD","Financials","Equity","1,202,048,847.00","0.21","1,202,048,847.00","4,242,725.00","283.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,171,253,440.00","0.20","1,171,253,440.00","10,457,620.00","112.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","1,127,796,864.21","0.19","1,127,796,864.21","14,725,119.00","76.59","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,104,605,236.64","0.19","1,104,605,236.64","19,270,852.00","57.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","1,092,506,967.30","0.19","1,092,506,967.30","5,275,263.00","207.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","1,075,523,726.25","0.18","1,075,523,726.25","3,103,875.00","346.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,070,518,366.40","0.18","1,070,518,366.40","13,569,760.00","78.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","1,056,205,650.00","0.18","1,056,205,650.00","1,072,290.00","985.00","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,050,639,812.94","0.18","1,050,639,812.94","2,548,983.00","412.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,047,365,505.12","0.18","1,047,365,505.12","12,349,552.00","84.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","1,039,178,689.77","0.18","1,039,178,689.77","8,273,057.00","125.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","1,037,810,565.12","0.18","1,037,810,565.12","11,546,624.00","89.88","United States","NASDAQ","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","1,011,558,346.20","0.17","1,011,558,346.20","15,467,253.00","65.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","1,011,155,528.68","0.17","1,011,155,528.68","6,484,676.00","155.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1,010,660,026.24","0.17","1,010,660,026.24","1,451,764.00","696.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","1,009,387,574.33","0.17","1,009,387,574.33","13,601,773.00","74.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","1,009,005,567.36","0.17","1,009,005,567.36","2,621,066.00","384.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,008,199,568.32","0.17","1,008,199,568.32","48,193,096.00","20.92","United States","NASDAQ","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","1,003,390,049.81","0.17","1,003,390,049.81","3,157,201.00","317.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","1,000,799,056.62","0.17","1,000,799,056.62","2,618,933.00","382.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","984,460,851.22","0.17","984,460,851.22","1,518,433.00","648.34","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","977,435,996.20","0.17","977,435,996.20","8,719,322.00","112.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","973,555,348.06","0.17","973,555,348.06","4,066,987.00","239.38","United States","NASDAQ","USD","1.00","USD","-"
